0 96011.386713,96243.348134,96483.098672,96735.759627,97008.420524,97312.041362,97665.948530,98111.244560,98771.240356,inf
1 84809.693960,85021.169833,85239.746932,85470.094271,85718.675267,85995.481994,86318.134042,86724.103993,87325.812615,inf
2 76887.755944,77200.063972,77522.859106,77863.036557,78230.141512,78638.930288,79115.423532,79714.960837,80603.565438,inf
3 70833.766173,71045.208893,71263.751726,71494.062954,71742.604981,72019.368314,72341.969780,72747.876088,73349.490382,inf
4 93903.724298,94048.057361,94197.237038,94354.449947,94524.107394,94713.029007,94933.240221,95210.316210,95620.984566,inf
5 89145.301758,89195.298444,89246.973987,89301.432226,89360.201228,89425.643299,89501.924025,89597.902596,89740.157297,inf
6 72217.570782,72508.536820,72809.273314,73126.204280,73468.222623,73849.076267,74293.007704,74851.574820,75679.455427,inf
7 63311.595715,63579.150218,63855.689032,64147.119289,64461.618357,64811.827983,65220.040074,65733.664096,66494.932270,inf
8 82005.355105,82193.397786,82387.754822,82592.577863,82813.614128,83059.748491,83346.648151,83707.633436,84242.668007,inf
9 79228.738533,79446.520926,79671.616313,79908.832946,80164.826990,80449.888499,80782.162502,81200.239069,81819.891522,inf
10 60556.432019,60763.269384,60977.052216,61202.347120,61445.475745,61716.210998,62031.786000,62428.851413,63017.362168,inf
11 69113.250270,69258.393625,69408.410802,69566.506311,69737.116222,69927.098448,70148.545936,70427.177441,70840.151305,inf
12 70802.962937,70983.280831,71169.653686,71366.062603,71578.018706,71814.041877,72089.155709,72435.311730,72948.367098,inf
13 71745.029681,71885.316622,72030.314309,72183.120032,72348.021432,72531.646960,72745.684940,73014.993593,73414.149585,inf
14 75566.047586,75744.126987,75928.186182,76122.156850,76331.481698,76564.574842,76836.273371,77178.132160,77684.818382,inf
15 55971.972009,56226.940071,56490.469799,56768.190438,57067.894673,57401.629552,57790.638312,58280.100160,59005.556351,inf
16 56263.005848,56459.575451,56662.745737,56876.856615,57107.915918,57365.211408,57665.120726,58042.475131,58601.771202,inf
17 88028.896258,88247.908401,88474.274833,88712.830956,88970.270520,89256.941683,89591.091936,90011.529254,90634.680694,inf
18 90287.879039,90398.931246,90513.712517,90634.674687,90765.211887,90910.571250,91080.005341,91293.192116,91609.167030,inf
19 103443.598916,103751.649076,104070.043365,104405.582987,104767.682997,105170.898528,105640.895476,106232.258957,107108.748717,inf
20 73322.985404,73479.718507,73641.714609,73812.434099,73996.667271,74201.819645,74440.949792,74741.830121,75187.780093,inf
21 54626.458343,54774.749833,54928.020857,55089.545430,55263.855840,55457.958749,55684.209394,55968.884369,56390.815565,inf
22 68767.299085,68981.032906,69201.943774,69434.750553,69685.985673,69965.747892,70291.844927,70702.149458,71310.282581,inf
23 77509.616640,77752.091056,78002.707610,78266.819708,78551.838188,78869.219781,79239.166791,79704.644604,80394.552842,inf
24 52350.381634,52748.197394,53159.371556,53592.687189,54060.302888,54581.015143,55187.968872,55951.655256,57083.553519,inf
25 93428.006364,93622.399765,93823.320774,94035.061252,94263.562521,94518.009520,94814.598572,95187.775325,95740.879487,inf
26 53542.736216,53742.108142,53948.174852,54165.338126,54399.691442,54660.654973,54964.839841,55347.573862,55914.843337,inf
27 68881.637996,69175.284075,69478.790604,69798.640770,70143.809389,70528.171014,70976.191431,71539.903418,72375.409500,inf
28 68475.634946,68717.057827,68966.587535,69229.554262,69513.336707,69829.341916,70197.684582,70661.143765,71348.060088,inf
29 105202.665648,105367.955388,105538.795453,105718.835150,105913.126289,106129.478687,106381.663830,106698.970324,107169.266347,inf
